frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
11,r1c2,1,2,0.67,0.65,balanced,balanced,medium_block_use_balanced,False,159.0
11,r2c0,2,0,0.33,0.43,fast,fast,low_block_use_fast,False,159.0
11,r2c1,2,1,0.5,0.39,balanced,balanced,medium_block_use_balanced,False,159.0
11,r2c2,2,2,0.54,0.38,balanced,balanced,medium_block_use_balanced,False,159.0
12,r0c0,0,0,0.11,0.32,skip,skip,unimportant_block_skip,False,123.0
12,r0c1,0,1,0.43,0.39,fast,fast,low_block_use_fast,False,123.0
12,r0c2,0,2,0.16,0.1,skip,skip,unimportant_block_skip,False,123.0
12,r1c0,1,0,0.42,0.51,fast,fast,low_block_use_fast,False,123.0
12,r1c1,1,1,0.69,0.46,balanced,balanced,medium_block_use_balanced,False,123.0
12,r1c2,1,2,0.28,0.39,fast,fast,low_block_use_fast,False,123.0
12,r2c0,2,0,0.63,0.46,balanced,balanced,medium_block_use_balanced,False,123.0
12,r2c1,2,1,0.91,0.6,accurate,accurate,important_block_use_accurate,False,123.0
12,r2c2,2,2,0.63,0.56,balanced,balanced,medium_block_use_balanced,False,123.0
13,r0c0,0,0,0.79,0.63,balanced,balanced,medium_block_use_balanced,False,141.0
13,r0c1,0,1,0.55,0.25,balanced,balanced,medium_block_use_balanced,False,141.0
13,r0c2,0,2,0.29,0.31,fast,fast,low_block_use_fast,False,141.0
13,r1c0,1,0,1.0,0.85,accurate,accurate,important_block_use_accurate,False,141.0
13,r1c1,1,1,0.53,0.67,balanced,balanced,medium_block_use_balanced,False,141.0
13,r1c2,1,2,0.36,0.42,fast,fast,low_block_use_fast,False,141.0
13,r2c0,2,0,0.7,0.59,balanced,balanced,medium_block_use_balanced,False,141.0
13,r2c1,2,1,0.42,0.46,fast,fast,low_block_use_fast,False,141.0
13,r2c2,2,2,0.18,0.34,skip,skip,unimportant_block_skip,False,141.0
14,r0c0,0,0,0.4,0.31,fast,fast,low_block_use_fast,False,129.0
14,r0c1,0,1,0.68,0.53,balanced,balanced,medium_block_use_balanced,False,129.0
14,r0c2,0,2,0.98,0.62,accurate,accurate,important_block_use_accurate,False,129.0
14,r1c0,1,0,0.26,0.05,fast,fast,low_block_use_fast,False,129.0
14,r1c1,1,1,0.25,0.22,fast,fast,low_block_use_fast,False,129.0
14,r1c2,1,2,0.75,0.55,balanced,balanced,medium_block_use_balanced,False,129.0
14,r2c0,2,0,0.24,0.24,fast,fast,low_block_use_fast,False,129.0
14,r2c1,2,1,0.26,0.26,fast,fast,low_block_use_fast,False,129.0
14,r2c2,2,2,0.36,0.41,fast,fast,low_block_use_fast,False,129.0
15,r0c0,0,0,0.11,0.08,skip,skip,unimportant_block_skip,False,115.0
15,r0c1,0,1,0.04,0.07,skip,skip,unimportant_block_skip,False,115.0
15,r0c2,0,2,0.33,0.45,fast,fast,low_block_use_fast,False,115.0
15,r1c0,1,0,0.04,0.16,skip,skip,unimportant_block_skip,False,115.0
15,r1c1,1,1,0.51,0.5,balanced,balanced,medium_block_use_balanced,False,115.0
15,r1c2,1,2,0.67,0.52,balanced,balanced,medium_block_use_balanced,False,115.0
15,r2c0,2,0,0.28,0.21,fast,fast,low_block_use_fast,False,115.0
