frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
12,r2c0,2,0,0.0418,0.0131,0.0541,skip,default_skip,0,1440,1280,2160
12,r2c1,2,1,0.5275,0.2785,0.6342,skip,default_skip,1280,1440,2560,2160
12,r2c2,2,2,0.0839,0.0,0.1199,skip,default_skip,2560,1440,3840,2160
13,r0c0,0,0,0.0982,0.1666,0.0689,skip,default_skip,0,0,1280,720
13,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
13,r0c2,0,2,0.0741,0.247,0.0,skip,default_skip,2560,0,3840,720
13,r1c0,1,0,0.7491,0.7773,0.7371,detect,high_importance_detect,0,720,1280,1440
13,r1c1,1,1,0.9064,0.8484,0.9312,detect,high_importance_detect,1280,720,2560,1440
13,r1c2,1,2,0.4417,0.7693,0.3013,detect,motion_region_detect,2560,720,3840,1440
13,r2c0,2,0,0.0578,0.0,0.0826,skip,default_skip,0,1440,1280,2160
13,r2c1,2,1,0.5808,0.2742,0.7122,detect,high_importance_detect,1280,1440,2560,2160
13,r2c2,2,2,0.1236,0.0003,0.1764,skip,default_skip,2560,1440,3840,2160
14,r0c0,0,0,0.0847,0.1397,0.0612,skip,default_skip,0,0,1280,720
14,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
14,r0c2,0,2,0.0763,0.2543,0.0,skip,default_skip,2560,0,3840,720
14,r1c0,1,0,0.7411,0.8104,0.7114,detect,high_importance_detect,0,720,1280,1440
14,r1c1,1,1,0.9001,0.8401,0.9259,detect,high_importance_detect,1280,720,2560,1440
14,r1c2,1,2,0.4765,0.8804,0.3034,detect,motion_region_detect,2560,720,3840,1440
14,r2c0,2,0,0.0516,0.0,0.0737,skip,default_skip,0,1440,1280,2160
14,r2c1,2,1,0.5595,0.2624,0.6868,detect,high_importance_detect,1280,1440,2560,2160
14,r2c2,2,2,0.1014,0.0042,0.143,skip,default_skip,2560,1440,3840,2160
15,r0c0,0,0,0.0882,0.1242,0.0728,skip,default_skip,0,0,1280,720
15,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
15,r0c2,0,2,0.0623,0.2078,0.0,skip,default_skip,2560,0,3840,720
15,r1c0,1,0,0.7483,0.8491,0.7051,detect,high_importance_detect,0,720,1280,1440
15,r1c1,1,1,0.8898,0.7901,0.9326,detect,high_importance_detect,1280,720,2560,1440
15,r1c2,1,2,0.5145,0.972,0.3185,detect,motion_region_detect,2560,720,3840,1440
15,r2c0,2,0,0.0526,0.008,0.0717,skip,default_skip,0,1440,1280,2160
15,r2c1,2,1,0.5503,0.2737,0.6688,detect,high_importance_detect,1280,1440,2560,2160
15,r2c2,2,2,0.116,0.0,0.1657,skip,default_skip,2560,1440,3840,2160
16,r0c0,0,0,0.0915,0.1288,0.0755,skip,default_skip,0,0,1280,720
16,r0c1,0,1,0.9789,0.9296,1.0,detect,high_importance_detect,1280,0,2560,720
16,r0c2,0,2,0.0641,0.2136,0.0,skip,default_skip,2560,0,3840,720
16,r1c0,1,0,0.7299,0.7876,0.7052,detect,high_importance_detect,0,720,1280,1440
16,r1c1,1,1,0.8696,0.7263,0.9311,detect,high_importance_detect,1280,720,2560,1440
16,r1c2,1,2,0.5209,1.0,0.3155,detect,motion_region_detect,2560,720,3840,1440
16,r2c0,2,0,0.0506,0.0069,0.0694,skip,default_skip,0,1440,1280,2160
16,r2c1,2,1,0.5583,0.2469,0.6917,detect,high_importance_detect,1280,1440,2560,2160
16,r2c2,2,2,0.1071,0.0,0.153,skip,default_skip,2560,1440,3840,2160
17,r0c0,0,0,0.1028,0.139,0.0873,skip,default_skip,0,0,1280,720
17,r0c1,0,1,0.9849,0.9497,1.0,detect,high_importance_detect,1280,0,2560,720
17,r0c2,0,2,0.0628,0.2094,0.0,skip,default_skip,2560,0,3840,720
17,r1c0,1,0,0.7632,0.8268,0.7359,detect,high_importance_detect,0,720,1280,1440
17,r1c1,1,1,0.862,0.7179,0.9237,detect,high_importance_detect,1280,720,2560,1440
17,r1c2,1,2,0.5177,1.0,0.311,detect,motion_region_detect,2560,720,3840,1440
17,r2c0,2,0,0.0894,0.0,0.1277,skip,default_skip,0,1440,1280,2160
17,r2c1,2,1,0.6192,0.2587,0.7737,detect,high_importance_detect,1280,1440,2560,2160
17,r2c2,2,2,0.1628,0.0125,0.2272,skip,default_skip,2560,1440,3840,2160
18,r0c0,0,0,0.1111,0.1685,0.0865,skip,default_skip,0,0,1280,720
18,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
18,r0c2,0,2,0.0617,0.2058,0.0,skip,default_skip,2560,0,3840,720
18,r1c0,1,0,0.7488,0.8345,0.7121,detect,high_importance_detect,0,720,1280,1440
18,r1c1,1,1,0.8708,0.7384,0.9275,detect,high_importance_detect,1280,720,2560,1440
18,r1c2,1,2,0.5034,0.9876,0.2958,detect,motion_region_detect,2560,720,3840,1440
18,r2c0,2,0,0.045,0.0,0.0644,skip,default_skip,0,1440,1280,2160
18,r2c1,2,1,0.5297,0.258,0.6462,skip,default_skip,1280,1440,2560,2160
18,r2c2,2,2,0.1078,0.0051,0.1518,skip,default_skip,2560,1440,3840,2160
19,r0c0,0,0,0.1059,0.1693,0.0787,skip,default_skip,0,0,1280,720
19,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
19,r0c2,0,2,0.0647,0.2156,0.0,skip,default_skip,2560,0,3840,720
19,r1c0,1,0,0.7502,0.8201,0.7202,detect,high_importance_detect,0,720,1280,1440
19,r1c1,1,1,0.8598,0.6927,0.9314,detect,high_importance_detect,1280,720,2560,1440
19,r1c2,1,2,0.4858,0.922,0.2988,detect,motion_region_detect,2560,720,3840,1440
19,r2c0,2,0,0.0412,0.0,0.0588,skip,default_skip,0,1440,1280,2160
19,r2c1,2,1,0.5543,0.2442,0.6872,detect,high_importance_detect,1280,1440,2560,2160
19,r2c2,2,2,0.1139,0.0079,0.1593,skip,default_skip,2560,1440,3840,2160
20,r0c0,0,0,0.117,0.175,0.0921,skip,default_skip,0,0,1280,720
20,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
20,r0c2,0,2,0.0752,0.2505,0.0,skip,default_skip,2560,0,3840,720
20,r1c0,1,0,0.7466,0.8237,0.7135,detect,high_importance_detect,0,720,1280,1440
20,r1c1,1,1,0.8635,0.7196,0.9252,detect,high_importance_detect,1280,720,2560,1440
20,r1c2,1,2,0.4829,0.9309,0.2909,detect,motion_region_detect,2560,720,3840,1440
20,r2c0,2,0,0.0428,0.0,0.0612,skip,default_skip,0,1440,1280,2160
20,r2c1,2,1,0.5271,0.2446,0.6482,skip,default_skip,1280,1440,2560,2160
20,r2c2,2,2,0.1122,0.0075,0.157,skip,default_skip,2560,1440,3840,2160
21,r0c0,0,0,0.1201,0.1773,0.0955,skip,default_skip,0,0,1280,720
21,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
21,r0c2,0,2,0.0675,0.2249,0.0,skip,default_skip,2560,0,3840,720
21,r1c0,1,0,0.7539,0.8241,0.7239,detect,high_importance_detect,0,720,1280,1440
21,r1c1,1,1,0.8887,0.759,0.9443,detect,high_importance_detect,1280,720,2560,1440
21,r1c2,1,2,0.4781,0.9261,0.2861,detect,motion_region_detect,2560,720,3840,1440
21,r2c0,2,0,0.0601,0.0,0.0858,skip,default_skip,0,1440,1280,2160
21,r2c1,2,1,0.5941,0.2533,0.7401,detect,high_importance_detect,1280,1440,2560,2160
21,r2c2,2,2,0.1592,0.0218,0.2181,skip,default_skip,2560,1440,3840,2160
22,r0c0,0,0,0.1232,0.1996,0.0904,skip,default_skip,0,0,1280,720
22,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
22,r0c2,0,2,0.0655,0.2184,0.0,skip,default_skip,2560,0,3840,720
22,r1c0,1,0,0.7236,0.7673,0.705,detect,high_importance_detect,0,720,1280,1440
22,r1c1,1,1,0.872,0.7088,0.942,detect,high_importance_detect,1280,720,2560,1440
22,r1c2,1,2,0.4645,0.8612,0.2945,detect,motion_region_detect,2560,720,3840,1440
22,r2c0,2,0,0.0422,0.0,0.0602,skip,default_skip,0,1440,1280,2160
22,r2c1,2,1,0.5171,0.2373,0.637,skip,default_skip,1280,1440,2560,2160
22,r2c2,2,2,0.1021,0.01,0.1416,skip,default_skip,2560,1440,3840,2160
23,r0c0,0,0,0.1266,0.196,0.0968,skip,default_skip,0,0,1280,720
23,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
23,r0c2,0,2,0.0643,0.2144,0.0,skip,default_skip,2560,0,3840,720
23,r1c0,1,0,0.7395,0.8134,0.7079,detect,high_importance_detect,0,720,1280,1440
23,r1c1,1,1,0.8926,0.7612,0.9489,detect,high_importance_detect,1280,720,2560,1440
23,r1c2,1,2,0.4692,0.8888,0.2894,detect,motion_region_detect,2560,720,3840,1440
23,r2c0,2,0,0.0411,0.0,0.0588,skip,default_skip,0,1440,1280,2160
23,r2c1,2,1,0.526,0.2354,0.6505,skip,default_skip,1280,1440,2560,2160
23,r2c2,2,2,0.1159,0.0161,0.1587,skip,default_skip,2560,1440,3840,2160
24,r0c0,0,0,0.1367,0.2046,0.1076,skip,default_skip,0,0,1280,720
24,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
24,r0c2,0,2,0.0663,0.221,0.0,skip,default_skip,2560,0,3840,720
24,r1c0,1,0,0.7254,0.7686,0.7069,detect,high_importance_detect,0,720,1280,1440
24,r1c1,1,1,0.8748,0.7225,0.94,detect,high_importance_detect,1280,720,2560,1440
24,r1c2,1,2,0.4622,0.8324,0.3035,detect,motion_region_detect,2560,720,3840,1440
24,r2c0,2,0,0.029,0.0,0.0414,skip,default_skip,0,1440,1280,2160
24,r2c1,2,1,0.5094,0.228,0.6301,skip,default_skip,1280,1440,2560,2160
24,r2c2,2,2,0.1088,0.0174,0.148,skip,default_skip,2560,1440,3840,2160
25,r0c0,0,0,0.1369,0.2187,0.1019,skip,default_skip,0,0,1280,720
25,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
